Issue Type,Summary,Epic Name,Epic Link,Component,Priority,Story Points,Labels,Description
Epic,MVP — Controle de estoque e vendas,MVP — Controle de estoque e vendas,,,Highest,,mvp,"Primeira versão funcional: o lojista cadastra produtos, registra vendas com baixa automática e recebe alertas de ruptura pelo WhatsApp."
Epic,Incremento 1 — Alertas inteligentes e reposição,Incremento 1 — Alertas inteligentes e reposição,,,High,,inc1,"Relatórios, importação, multiusuário e visão de reposição para o fornecedor."
Epic,Incremento 2 — Venda conversacional e escala,Incremento 2 — Venda conversacional e escala,,,Medium,,inc2,"Bot de venda no WhatsApp, leitura de código de barras, multi-loja e integração fiscal. Backlog ainda não refinado."
Story,Criar conta da loja,,MVP — Controle de estoque e vendas,Cadastro & Acesso,Highest,5,mvp onboarding,"Como lojista, quero criar a conta da minha loja usando meu número de WhatsApp, para começar a usar o app em poucos minutos.

Critérios de aceitação:
- Dado um novo usuário, quando informo nome da loja e número de WhatsApp, então recebo um código de verificação.
- Dado um código válido, quando o informo, então minha conta é criada e acesso o app.
- O cadastro é concluído em no máximo 3 passos."
Story,Fazer login seguro,,MVP — Controle de estoque e vendas,Cadastro & Acesso,High,3,mvp auth,"Como lojista, quero entrar na minha conta de forma segura, para proteger os dados da minha loja.

Critérios de aceitação:
- Dado um usuário cadastrado, quando informo credenciais válidas, então acesso o app.
- Dado credenciais inválidas, então recebo mensagem de erro e não acesso.
- Existe opção de recuperar acesso pelo WhatsApp."
Task,[RNF] Conformidade LGPD no cadastro e armazenamento,,MVP — Controle de estoque e vendas,Cadastro & Acesso,High,5,mvp enabler nfr seguranca lgpd,"Requisito não funcional de segurança e privacidade: o tratamento de dados pessoais deve estar em conformidade com a LGPD.

Critérios de aceitação:
- Consentimento do usuário é coletado e registrado no cadastro.
- Dados pessoais e sensíveis são criptografados em repouso e em trânsito (TLS).
- Política de privacidade acessível e termos aceitos antes do primeiro uso.
- Usuário pode solicitar exclusão dos seus dados."
Story,Cadastrar produto,,MVP — Controle de estoque e vendas,Gestão de Produtos,Highest,3,mvp produtos,"Como lojista, quero cadastrar um produto com nome, preço, quantidade e estoque mínimo, para controlar o que tenho em estoque.

Critérios de aceitação:
- Dado o formulário de produto, quando preencho nome, preço, quantidade e estoque mínimo, então o produto é salvo e aparece na lista.
- Campos obrigatórios são validados (nome, preço, quantidade).
- Após salvar, recebo confirmação visual."
Story,Editar e remover produto,,MVP — Controle de estoque e vendas,Gestão de Produtos,Medium,2,mvp produtos,"Como lojista, quero editar ou remover um produto, para manter meu catálogo sempre atualizado.

Critérios de aceitação:
- Posso editar qualquer campo de um produto existente.
- Ao remover, é solicitada confirmação.
- Alterações refletem imediatamente na lista e no estoque."
Story,Listar produtos com estoque atual,,MVP — Controle de estoque e vendas,Gestão de Produtos,High,3,mvp produtos,"Como lojista, quero ver a lista dos meus produtos com a quantidade atual, para saber rapidamente o que tenho.

Critérios de aceitação:
- A lista mostra nome, quantidade atual e estoque mínimo de cada produto.
- Itens abaixo do estoque mínimo são destacados visualmente.
- É possível buscar por nome."
Story,Registrar venda com baixa automática,,MVP — Controle de estoque e vendas,Registro de Vendas,Highest,8,mvp vendas,"Como vendedor, quero registrar uma venda selecionando os produtos, para que o estoque seja baixado automaticamente.

Critérios de aceitação:
- Dado produtos em estoque, quando registro uma venda com itens e quantidades, então o estoque de cada item é reduzido automaticamente.
- A venda registra data, itens, quantidades e valor total.
- Não é possível vender quantidade acima do estoque disponível (ou há aviso).
- O registro de uma venda é concluído em no máximo 2 toques após selecionar os itens."
